"ObjectID","GlobalID","CreationDate","Creator","EditDate","Editor","Observer name","Date","Survey occasion","Site ID","Visibility","Observed species occurrence","x","y"
1,"0e00ul0f-v8eb-d9pu-s9nz-ds7h5q0o25jt",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2011-06-01 12:00:00,1,"30","good","yes",0,0
2,"hflo3o2n-lnee-6ri7-iiu3-uji8wlyqmhl4",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2012-06-01 12:00:00,1,"73","poor","no",0,0
3,"un47qdy1-lj53-scqz-oujm-tghj06chmd5d",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2013-06-01 12:00:00,1,"20","good","no",0,0
4,"ak5a402i-t7pn-e0cv-61y7-cbb8rmkzf9bw",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2014-06-01 12:00:00,1,"71","good","no",0,0
5,"lja61fbi-3sth-b3ro-qtiy-ity2iglr10hv",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2015-06-01 12:00:00,1,"39","good","no",0,0
6,"pu7nium4-x5om-qccs-dend-208k1j1j237j",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2016-06-01 12:00:00,1,"86","poor","no",0,0
7,"g7qijk0m-7msf-uhj0-946r-duvps4ifv13u",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2017-06-01 12:00:00,1,"43","good","yes",0,0
8,"cw19vcq4-md0c-h11j-bf7w-dxsk48ew2mgt",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2018-06-01 12:00:00,1,"99","poor","yes",0,0
9,"xeutvwwq-tq4o-m5w5-1nly-hrnuen7kuesa",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2019-06-01 12:00:00,1,"10","good","no",0,0
10,"1sw3w0xe-xind-9cv1-l2ok-utop18hcoz56",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2011-06-01 12:00:00,1,"33","poor","no",0,0
11,"npdsud6n-tn13-mxmy-dua0-aspf5wemfp6z",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2012-06-01 12:00:00,1,"52","good","yes",0,0
12,"rk2hr9fq-2iks-wqge-l5gq-s3bun34n92xt",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2013-06-01 12:00:00,1,"98","poor","no",0,0
13,"xei5cr3s-qwql-704c-bk5e-17wlznti9ae2",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2014-06-01 12:00:00,1,"93","poor","no",0,0
14,"pky0z545-liqx-tohw-r91t-wbo4olaobw4p",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2015-06-01 12:00:00,1,"65","good","yes",0,0
15,"n8zdauyy-nv18-5nub-ijht-xryhe0xfy0tn",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2016-06-01 12:00:00,1,"92","good","yes",0,0
16,"w0hcxah0-diw1-3tbe-7frj-5seyzygf1uw5",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2017-06-01 12:00:00,1,"18","poor","no",0,0
17,"ikckgeim-54oj-bhwo-kzi1-wcgjle6lb7p2",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2018-06-01 12:00:00,1,"32","good","no",0,0
18,"linia0li-gqc4-kphk-linq-a61z9vezjlh8",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2019-06-01 12:00:00,1,"2","good","yes",0,0
19,"ran4a1bs-2am9-x2lz-577k-xi8eodmevjo6",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2011-06-01 12:00:00,1,"69","poor","no",0,0
20,"7695iq6a-4ad4-a7kd-224e-hkyos6bbbssl",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2012-06-01 12:00:00,1,"72","good","yes",0,0
21,"b43l81ii-68ig-ctpm-bbza-o4xrk9b621wf",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2013-06-02 12:00:00,2,"30","good","no",0,0
22,"f0eabsie-0xr1-8ls6-lrbd-tqxbya2z086z",2014-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2014-06-02 12:00:00,2,"73","good","no",0,0
23,"3xuia0w0-43b6-7pjy-6fmd-t3vh3iob46f1",2015-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2015-06-02 12:00:00,2,"20","poor","no",0,0
24,"rp388jsv-vu6e-31wr-llq3-hd8y4i6mi324",2016-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2016-06-02 12:00:00,2,"71","poor","no",0,0
25,"yl23qcqp-gsqs-64nn-huxv-ja4id4qyjes3",2017-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2017-06-02 12:00:00,2,"39","good","yes",0,0
26,"e67ghs0t-6qgj-phj2-eyoa-7p2li68k9ogl",2018-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2018-06-02 12:00:00,2,"86","good","yes",0,0
27,"qltl2rp5-x3od-765f-7po8-1y12sxr2xbg3",2019-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2019-06-02 12:00:00,2,"43","good","yes",0,0
28,"c6fidq2i-20m3-a989-zeh9-8z9iqvio8glw",2011-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2011-06-02 12:00:00,2,"99","good","yes",0,0
29,"a4ca5wgb-6c9p-lafq-4ih8-6zj0vq0r7hen",2012-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2012-06-02 12:00:00,2,"10","good","no",0,0
30,"4x4tnq0b-yplu-oreu-2sep-78elpn70b3ue",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2013-06-02 12:00:00,2,"33","good","no",0,0
