"ObjectID","GlobalID","CreationDate","Creator","EditDate","Editor","Observer name","Date","Survey occasion","Site ID","Visibility","Observed species occurrence","x","y"
1,"rf3ie8w7-88st-lhar-xl7m-us6w041gbfoe",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2011-06-01 12:00:00,1,"43","good","no",0,0
2,"5yf1gonc-in7z-qzer-lnkx-cypspvpmsypm",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2012-06-01 12:00:00,1,"62","poor","no",0,0
3,"vwbzpydq-66w4-harg-aj35-uhmlorb70kiw",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2013-06-01 12:00:00,1,"60","poor","no",0,0
4,"1oc6028b-k4ho-jb9s-gioy-g4k0zihm314w",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2014-06-01 12:00:00,1,"72","good","no",0,0
5,"0cu14f67-rcbl-gs4k-ge0b-2x6vaonybm08",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2015-06-01 12:00:00,1,"67","poor","no",0,0
6,"fb4bx4ol-s8m0-ra62-odt4-pb69w0hftduw",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2016-06-01 12:00:00,1,"56","good","yes",0,0
7,"6ldjw6fo-zhn8-6iyj-zm5l-ngeul1hjljgq",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2017-06-01 12:00:00,1,"94","good","yes",0,0
8,"gaynkbwn-lo9w-6p2f-vnjp-97kuwyx82y26",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2018-06-01 12:00:00,1,"83","good","no",0,0
9,"vnspp5rs-zjut-iizx-dagu-osxoev9s3hov",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2019-06-01 12:00:00,1,"96","poor","yes",0,0
10,"0ngpewoh-i6k3-fhlf-23p8-w6vljhekvclf",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2011-06-01 12:00:00,1,"39","good","yes",0,0
11,"qj2of1wy-rwgo-9yvg-x179-guu375hdkpdi",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2012-06-01 12:00:00,1,"69","poor","no",0,0
12,"7xxiw9mo-1ndv-0238-42qu-1sxf53p89yre",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2013-06-01 12:00:00,1,"57","good","yes",0,0
13,"5t9yy5d0-6pkr-n9d4-p8eh-79cby66fogok",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2014-06-01 12:00:00,1,"32","good","no",0,0
14,"97es2kcw-2awo-dov0-5pmq-ogf9x3z2slyf",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2015-06-01 12:00:00,1,"90","good","no",0,0
15,"khbirm3k-lgrh-i0un-ypj2-2o6u2c4fqmx1",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2016-06-01 12:00:00,1,"14","good","no",0,0
16,"smr25d2j-7lb9-mpnr-ygr5-b6hcgiyxqexz",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2017-06-01 12:00:00,1,"91","poor","no",0,0
17,"2z9qqojt-g7mw-aihj-tqbz-qz0yd0kogkqv",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2018-06-01 12:00:00,1,"5","good","no",0,0
18,"ucdwaxmu-pukm-pwee-2g6f-giyr9de74a44",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2019-06-01 12:00:00,1,"79","good","yes",0,0
19,"eb90m02p-x58k-oaz9-sao0-ybkcfdqwi8x7",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2011-06-01 12:00:00,1,"68","good","yes",0,0
20,"7zaxzd5q-sobi-lrnt-48dv-4wusoe52ceo6",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2012-06-01 12:00:00,1,"75","poor","yes",0,0
21,"blf4w9v5-6gu6-w1ik-v9yu-tmhu13drbav3",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2013-06-02 12:00:00,2,"43","good","no",0,0
22,"8jw7o1fv-0n54-zmpb-uhnm-z56cp3etmrv8",2014-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2014-06-02 12:00:00,2,"62","poor","no",0,0
23,"h0k9wne3-q8al-fv8y-cza8-gh24cnfw6iga",2015-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2015-06-02 12:00:00,2,"60","poor","no",0,0
24,"bhfnxkot-gmfl-9o5k-74r7-ehlvuwg440p4",2016-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2016-06-02 12:00:00,2,"72","good","no",0,0
