"ObjectID","GlobalID","CreationDate","Creator","EditDate","Editor","Observer name","Date","Survey occasion","Site ID","Visibility","Observed species occurrence","x","y"
1,"oq7q1ucg-v09p-2ble-x3qq-hag062dymkmr",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2011-06-01 12:00:00,1,"32","good","yes",0,0
2,"v00cnnmy-m5jk-ezl2-qrml-lq2z16ts4pm2",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2012-06-01 12:00:00,1,"24","good","yes",0,0
3,"r2p0yxs1-46c0-xwzm-tzdr-6luugh7z1nyv",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2013-06-01 12:00:00,1,"50","good","no",0,0
4,"jef2qy4e-7xg6-9fp5-xuzh-qre8wc4yfbym",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2014-06-01 12:00:00,1,"62","poor","no",0,0
5,"ajfd8t7s-l7rr-8zi8-otf4-a4uj69walugb",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2015-06-01 12:00:00,1,"11","poor","no",0,0
6,"ue4s5jy7-det2-f7mv-5e94-lp8wktzzm99e",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2016-06-01 12:00:00,1,"92","good","no",0,0
7,"ifojpywp-oy19-bqoa-7875-aaz2coasjlwx",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2017-06-01 12:00:00,1,"44","good","yes",0,0
8,"z2494s9t-xp1v-qxdi-5myl-ud4iph0yjkaa",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2018-06-01 12:00:00,1,"48","good","no",0,0
9,"4rh2i6tn-etnp-yfz7-z5r3-0sx8apmbkcae",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2019-06-01 12:00:00,1,"2","good","no",0,0
10,"4fa0xa0o-jyc6-necg-26nb-bpsc8nd1j6bs",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2011-06-01 12:00:00,1,"38","good","no",0,0
11,"sbezxn7u-ea9n-7qie-xlfh-9a9q84yoccys",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2012-06-01 12:00:00,1,"47","good","no",0,0
12,"eomzo72b-8881-w8si-nxpe-nb533c3cmlm7",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2013-06-01 12:00:00,1,"42","poor","no",0,0
13,"6w4gzpqp-xw31-u889-e7pu-djviqdknq0wb",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2014-06-01 12:00:00,1,"97","good","no",0,0
14,"c1jueye8-gc50-1e6g-n6uo-1gpjdgekgbay",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2015-06-01 12:00:00,1,"22","poor","no",0,0
15,"1xwgkaej-hwgd-ikoo-i760-4xl5qqpu17dg",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2016-06-01 12:00:00,1,"69","good","yes",0,0
16,"dewsy0qc-hl0q-zq77-d6td-sap8itoh2vb5",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2017-06-01 12:00:00,1,"59","good","yes",0,0
17,"7thf2pjl-m1t7-4hnu-5dwu-1jtrqh6r3r4k",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2018-06-01 12:00:00,1,"1","good","yes",0,0
18,"pcnqovyw-cs85-8q5w-c6d9-9bnnm46wm2eo",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2019-06-01 12:00:00,1,"30","good","yes",0,0
19,"b4nxan5v-41vl-wx73-y72d-z575afjagpw0",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2011-06-01 12:00:00,1,"95","good","no",0,0
20,"69ffondr-7fj6-twrx-clsy-mlo0ce3iwtgm",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2012-06-01 12:00:00,1,"88","good","no",0,0
21,"ujdid57l-73du-1cy2-88cc-lfai8kzeij06",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-02 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2013-06-02 12:00:00,2,"32","good","yes",0,0
